OverallQual,LivArea,Fence,SalePrice
5,1144,0,124000
6,1844,0,223000
6,1416,0,179900
6,1069,0,127500
6,848,0,136500
6,2201,1,274970
5,1344,1,144000
6,1252,0,142000
7,2127,0,271000
5,1558,0,140000
5,804,1,119000
6,1440,0,182900
5,1838,0,192140
6,958,0,143750
4,968,0,64500
6,1792,0,186500
5,1126,0,160000
6,1537,1,174000
4,864,1,120500
8,1932,0,394617
6,1236,1,149700
7,1725,0,197000
6,2555,0,191000
6,848,0,149300
10,2007,0,310000
6,952,0,121000
7,1422,0,179600
6,913,0,129000
5,1188,0,157900
8,2090,0,240000
4,1346,1,112000
5,630,0,92000
5,1792,0,136000
8,1578,0,287090
5,1072,0,145000
5,1140,0,84500
7,1221,0,185000
6,1647,0,175000
6,2073,1,210000
7,2340,1,266500
5,1078,0,142125
5,1256,0,147500
